key,description,en_GB,de_DE,fr_FR,markdown
meta.title,The main title of the page,Crocs-onality  Quiz,Crocs Quiz,Crocs Quiz,
meta.author,"Meta data indicating the ""author"" of the website",Crocs,Crocs,Crocs,
meta.description,Description of the website,Are you a Crocs-mic Cruiser perhaps a Graceful Crocs-tar or maybe a Gamer Guru? Find out what your Crocs-onality is by taking our fun crocking quiz!,"Bist du ein Crocs-mischer Weltenbummler, eine Fashion-Crocs-tar oder vielleicht ein Gamer Guru? 
Entdecke deine Crocs-onality, mit unserem crazy Crocs Personality-Test!","Es-tu un Voyageur Crocs-mique, un Maître Gamer ou une Glam’ Crocs-tar ? Découvre ta Crocs-onnalité en jouant à notre quiz croc’ marrant !",
meta.keywords,Keyword seperated by commas,"Crocs, Jibbitz","Crocs, Jibbitz","Crocs, Jibbitz",
meta.og.site_name,"Site name displayed when sharing via Open Graph (Facebook, Teams, Slack, Whatsapp, ‚Ä¶)",Crocs-onality Quiz,Crocs Quiz,Crocs Quiz,
meta.og.title,Title displayed when sharing via Open Graph,Crocs-onality Quiz,Crocs Quiz,Crocs Quiz,
meta.og.description,Description when sharing via Open Graph,Are you a Crocs-mic Cruiser perhaps a Graceful Crocs-tar or maybe a Gamer Guru? Find out what your Crocs-onality is by taking our fun crocking quiz!,"Bist du ein Crocs-mischer Weltenbummler, eine Fashion-Crocs-tar oder vielleicht ein Gamer Guru? 
Entdecke deine Crocs-onality, mit unserem crazy Crocs Personality-Test!","Es-tu un Voyageur Crocs-mique, un Maître Gamer ou une Glam’ Crocs-tar ? Découvre ta Crocs-onnalité en jouant à notre quiz croc’ marrant !",
meta.twitter.title,Title when sharing via Twitter,Crocsonality Quiz,Crocs Quiz,Crocs Quiz,
meta.twitter.description,Description when sharing via Twitter,Are you a Crocs-mic Cruiser perhaps a Graceful Crocs-tar or maybe a Gamer Guru? Find out what your Crocs-onality is by taking our fun crocking quiz!,"Bist du ein Crocs-mischer Weltenbummler, eine Fashion-Crocs-tar oder vielleicht ein Gamer Guru? 
Entdecke deine Crocs-onality, mit unserem crazy Crocs Personality-Test!","Es-tu un Voyageur Crocs-mique, un Maître Gamer ou une Glam’ Crocs-tar ? Découvre ta Crocs-onnalité en jouant à notre quiz croc’ marrant !",
quiz.question.prompt,Prompt title for each question,Would you rather…,Würdest du lieber...,Tu préfères...,
quiz.question.prompt.or,,or,oder,ou,
quiz.question.response[1.1],,be captured by aliens,von Außerirdischen entführt werden,être enlevé par des aliens,
quiz.question.response[1.2],,be lost at sea?,in einem Rettungsboot auf hoher See ausgesetzt sein?,être perdu en pleine mer ?,
quiz.question.response[2.1],,scroll through your timeline forever,für immer durch deine Timeline scrollen,scroller tout ton historique pour toujours,
quiz.question.response[2.2],,time travel for 1 hour?,für eine Stunde die Timeline deines Tages kontrollieren?,scroller ton futur pendant 1 heure ?,
quiz.question.response[3.1],,get stuck in a game forever,für immer auf dem HighScore deines Lieblingsgames stehen,être coincé dans un jeu vidéo pour l’éternité,
quiz.question.response[3.2],,get stuck with fame forever?,für immer als Superstar im Scheinwerferlicht stehen?,être célèbre toute ta vie ?,
quiz.question.response[4.1],,be able to multitask everything,ein Multi-Tasking-Talent sein,être polyvalent dans tout,
quiz.question.response[4.2],,be really epic at one thing?,ein Genie in einer ganz bestimmten Sache sein?,être vraiment doué pour une chose ?,
quiz.question.response[5.1],,listen to your least-favorite song on a loop for a year,ein ganzes Jahr lang ein gehasstes Lied in Dauerschleife hören,écouter la chanson que tu détestes le plus en boucle pendant un an,
quiz.question.response[5.2],,never listen to any music at all for a year?,ein ganzes Jahr lang überhaupt keine Musik hören?,n’écouter aucune musique pendant un an ?,
quiz.question.response[6.1],,time travel to the past,in die Vergangenheit reisen,voyager dans le passé,
quiz.question.response[6.2],,time travel to the future?,in die Zukunft reisen?,voyager dans le futur ?,
quiz.question.response[7.1],,fly first class for one elegant vacation,einmal luxuriös in der ersten Klasse in einen schicken (kurzen) Urlaub fliegen,voyager en première classe pour un séjour super hype,
quiz.question.response[7.2],,take several cheap trips and backpack?,mehrere preiswerte Abenteuertrips mit dem Rucksack machen?,faire plusieurs voyages pas chers en mode sac à dos ?,
quiz.question.response[8.1],,own every piece of clothing ever made,jedes jemals hergestellte Kleidungsstück besitzen,posséder tous les vêtements de la Terre,
quiz.question.response[8.2],,10 top basic essentials?,nur die 10 absoluten Must-Haves in deinem Schrank haben?,avoir 10 pièces essentielles ?,
quiz.question.response[9.1],,have a pool in your backyard,einen Swimming-Pool im Garten haben,avoir une piscine dans ton jardin,
quiz.question.response[9.2],,live next to the ocean?,am Meer leben?,vivre au bord de l’océan ?,
quiz.question.response[10.1],,be the first to arrive,der erste Party-Gast sein,être le premier à arriver en soirée,
quiz.question.response[10.2],,be the last one to leave at a party?,"der Letzte sein, der geht?",être le dernier à en repartir ?,
personas.1.name,,The Crocs-mic Cruiser,CROCS-MISCHER WELTENBUMMLER,LE VOYAGEUR CROCS-MIQUE,
personas.1.desc,,"You're an independent, and adventurous soul, fearlessly embracing your unique self. With trusty Crocs on, you're always prepared for daily escapades, never skipping a horoscope check. And those alien-themed Jibbitz? They perfectly match your extraterrestrial identity! You truly come as you are.

**Keep shining bright like a supernova, remaining unapologetically YOU!**","Du bist ein freier Geist, strotzt vor Abenteuerlust und liebst es, deine Einzigartigkeit zu leben. Mit treuen Crocs an den Füßen bist du stets gewappnet für kosmisch-coole Eskapaden – egal zu welcher Sternzeit. Weltraumwetter & Horoskop-Check gehört fest zu deinem Space-Programm. Und die Alien-Jibbitz an deinen Crocs? 

Die sind das i-Tüpfelchen deines außerirdisch geilen Styles.
Du nimmst das Motto ""Bleib dir treu"" wörtlich – egal in welcher Inkarnation oder parallelen Realität.

**Bleib der Star, der du bist, unübersehbar wie eine sonnige Supernova! Bleib wie du bist, egal auf welchen Planeten du dich beamst.**","Tu es une âme indépendante et aventureuse, assumant sans crainte ta personnalité unique. Avec tes Crocs préférées aux pieds, tu es toujours paré pour des escapades quotidiennes et ne zappes jamais de lire ton horoscope. Et ces Jibbitz aliens ? Ils collent parfaitement à ta personnalité de l’espace ! Tu as vraiment ton propre style.

**Continue de briller comme une supernova, continue d’être TOI !**",TRUE
personas.1.buylink,,https://www.crocs.eu,https://www.crocs.eu,https://www.crocs.eu,
personas.1.buyCTA,,Buy Your Crocs-mic Cruiser Bundle,Hol dir dein Crocs-mischer Weltenbummler-Bundle!,Commande ton pack Voyageur Crocs-mique,
personas.2.name,,The Gamer Guru,DER GAMER GURU,LE MAÎTRE GAMER,
personas.2.desc,,"You're the epitome of cool and savvy, with an irresistible obsession for gaming and technology. Sporting your meta avatar, you effortlessly blend coolness and wisdom. You love wearing those classic Crocs from the shower to the playground, but mostly you wear them as a lucky charm to win your games.

**Keep crocking those skills and let your inner gamer shine brighter than ever before!**","Hey, du bist der ultimative Controller-Cowboy und Nerd-Ninja, der König der Konsolen, und kein Highscore ist vor dir sicher. Mit deinen Crocs als Power-Up, bist du immer ready für den nächsten Epic Win, egal, ob auf dem Handy in der Bahn oder beim Boss Fight auf dem Sofa.

**Also, daddel was das Zeug hält, lass deinen inneren Game-Guru erleuchten wie die Neonlichter einer Retro-Arcade! Lass die Pixel tanzen!**","Tu es hyper cool, futé et doté d’une obsession irrésistible pour les jeux vidéo et la technologie. Avec ton meta avatar, tu incarnes ce parfait mélange de sagesse et de coolitude. Tu adores mettre tes indémodables Crocs, de la douche jusque dans la rue et surtout pour qu’elles te portent bonheur quand tu joues en ligne. 

**Continue de croc-quer la vie virtuelle à pleines dents et laisse le gamer qui est en toi rayonner plus que jamais !**",TRUE
personas.2.buylink,,https://www.crocs.eu,https://www.crocs.eu,https://www.crocs.eu,
personas.2.buyCTA,,Buy Your Gamer Guru Bundle,Hol dir dein Gamer Guru-Bundle!,Commande ton pack Maître Gamer,
personas.3.name,,The Eclectic Croc-er,DER VINTAGE CROC-ER,LE CROC-KEUR HIPSTER,
personas.3.desc,,"Introducing our reliable hipster pal, a connoisseur of all things vintage, including your parents high-end fashion. And oh, the undying love you have for Crocs! If only they existed in the 80s, you'd be raiding grandparents closet for the ultimate dream come true. But hey, who needs time travel when your unique style speaks volumes? 

**Keep Croc-king that hipster vibe, my friend, and let your extraordinary extravagant Crocs shine bright on your parties!**","Hey, du Second-Hand-Hero! 

Als Vintage-Connoisseur hast du eine Schwäche für Retro-Schätze und sogar die Haute Couture deiner Eltern. 

Und, ach, diese unvergängliche Liebe für Crocs! Hätten sie bloß schon in den 80ern existiert - du hättest den Kleiderschrank deiner Großeltern ausgeräumt, um dein ultimatives Vintage-Paradies zu schaffen. 

Aber hey, wer braucht schon Zeitreisen, wenn dein einzigartiger Stil Bände spricht?

**Bleib deinem unverwechselbaren Hipster-Vibe treu, und lass deine ausgefallenen Crocs auf deinen Partys heller strahlen als jede Discokugel!**","Et voilà notre fidèle ami hipster, fan absolu de vintage (ça inclut la garde-robe de tes parents). Ah oui, et fan de Crocs, évidemment ! Si seulement elles existaient dans les années 80, tu porterais déjà celles de tes grands-parents. Le rêve. Mais pourquoi vouloir chercher dans le passé quand on a un style légendaire comme le tien ?

**Ne t’arrête jamais d’être aussi croc’n’roll, mon ami, et chausse tes Crocs les plus extravagantes pour être le plus hype en soirée !**
",TRUE
personas.3.buylink,,https://www.crocs.eu,https://www.crocs.eu,https://www.crocs.eu,
personas.3.buyCTA,,Buy Your Eclectic Croc-er Bundle,Hol dir dein Vintage Croc-er-Bundle,Commande ton pack Croc-keur Hispter,
personas.4.name,,The Crocs-tar,CROCS-TAR,LA CROCS-TAR,
